weapon	enemy	expectation	fired	hit	damaged	killed	timeToDamage	timeToKill	result
Colt45	Paratrooper	MustDamage	true	true	true	true	0.119	0.119	PASS
Thompson	Paratrooper	MustDamage	true	true	true	true	0.147	0.147	PASS
Tesla	Paratrooper	MustDamage	true	true	true	true	0.088	0.088	PASS
Flamethrower	Paratrooper	MustDamage	true	true	true	true	1.373	1.373	PASS
Bazooka	Paratrooper	MustDamage	true	true	true	true	1.987	1.987	PASS
Thompson	Helicopter	MustDamage	true	true	true	false	0.151	-1	PASS_DAMAGE_ONLY
Colt45	Helicopter	MustDamage	true	true	true	false	0.309	-1	PASS_DAMAGE_ONLY
Flamethrower	Helicopter	MustDamage	true	true	true	false	0.029	-1	PASS_DAMAGE_ONLY
Tesla	Helicopter	MustDamage	true	true	true	false	0.048	-1	PASS_DAMAGE_ONLY
Bazooka	Helicopter	MustDamage	true	true	true	true	0.729	0.729	PASS
Bazooka	Bomber	MustDamage	true	true	true	true	0.797	0.797	PASS
Colt45	Bomber	MustDamage	true	true	true	false	0.11	-1	PASS_DAMAGE_ONLY
Flamethrower	Bomber	MustDamage	true	true	true	false	0.014	-1	PASS_DAMAGE_ONLY
Tesla	Bomber	MustDamage	true	true	true	false	0.046	-1	PASS_DAMAGE_ONLY
Thompson	Bomber	MustDamage	true	true	true	false	0.142	-1	PASS_DAMAGE_ONLY
Bazooka	KamikazeDrone	MustDamage	true	true	true	true	0.867	0.867	PASS
Colt45	KamikazeDrone	MustDamage	true	true	true	false	0.107	-1	PASS_DAMAGE_ONLY
Flamethrower	KamikazeDrone	MustDamage	true	true	true	false	0.035	-1	PASS_DAMAGE_ONLY
Tesla	KamikazeDrone	MustDamage	true	true	true	false	0.052	-1	PASS_DAMAGE_ONLY
Thompson	KamikazeDrone	MustDamage	true	true	true	false	0.141	-1	PASS_DAMAGE_ONLY
